,0,1
UBERON:0001049,-0.07164657,-8.444024
UBERON:0002036,8.18391,7.81116
UBERON:0004537,-1.1910181,1.3329824
UBERON:0002365,-8.784406,7.2085457
UBERON:0000485,-3.2427151,9.764051
UBERON:0002346,0.58332974,-9.88427
UBERON:0002367,4.004132,-9.510644
CL:0002620,-1.332198,5.4727044
UBERON:0000200,-2.34286,-2.8007805
UBERON:0002185,-2.1960163,12.692797
UBERON:0003920,-1.8622075,1.9038615
UBERON:0016525,7.3547144,-6.714562
UBERON:0005291,0.48792386,-8.739142
CL:0000576,3.014749,5.4462867
CL:0000037,1.1093981,3.745922
UBERON:0034769,11.279033,-1.0535738
CL:0000842,3.9853024,2.6535761
UBERON:0008895,9.853375,-0.57418114
CL:0000057,-2.9263341,5.835497
UBERON:0000945,10.002987,-3.3444133
UBERON:0001638,-1.9648656,1.4131912
UBERON:0006562,8.647541,-1.6892525
CL:0008001,1.1019583,3.7477322
CL:0000066,-3.1669893,-7.459921
UBERON:0002107,-9.448995,7.1825204
UBERON:0001134,8.858138,7.9051547
UBERON:0000002,-6.271813,-5.6760445
UBERON:0000203,2.6636553,-4.9091477
UBERON:0005366,-2.7431304,-3.9181664
UBERON:0012275,-8.152384,-6.2159615
UBERON:0008367,10.711239,3.7075775
UBERON:0001295,-10.05417,-1.4865294
CL:0000542,4.7233644,-0.11488426
UBERON:0004807,-0.9373666,10.165357
UBERON:0010498,-2.11344,10.613567
UBERON:0012274,-3.1505995,12.029524
UBERON:0000323,1.282423,0.0064637614
UBERON:0002384,-3.0925748,5.9490995
UBERON:0002031,-2.3034742,9.751949
UBERON:0001042,9.677194,-1.6604908
UBERON:0011215,4.3490868,-4.418655
UBERON:0000992,4.9997387,-10.407017
UBERON:0016548,4.478107,-4.782556
UBERON:0001474,-5.635782,-0.92439634
UBERON:0000473,-7.9500604,1.4909405
UBERON:0002371,-5.5255427,-0.77839094
UBERON:0010371,0.50375456,-9.278606
UBERON:0000451,7.1544013,-7.458538
UBERON:0001870,7.8315554,-7.0239644
CL:0000235,3.9839578,5.8341923
UBERON:0003914,-0.8067754,-9.479724
UBERON:0001013,-5.920515,4.5567017
UBERON:0000956,1.8656768,-5.052796
UBERON:0000065,-11.312386,3.2882357
UBERON:0012168,1.2972547,0.005586
UBERON:0004765,-5.5197444,-0.78279334
UBERON:0000993,-9.78581,-3.5632133
UBERON:0000310,10.728994,3.6842515
UBERON:0016529,7.0476556,-7.021028
UBERON:0000160,-5.1038046,-10.573035
UBERON:0011821,-5.3544006,4.12282
CL:0000182,-10.069051,6.1530185
CL:0002202,-0.732795,12.871209
CL:0000081,2.159598,7.3450985
UBERON:0004801,-7.025477,-5.1129136
UBERON:0000991,5.591274,-10.233163
UBERON:0011823,-5.86167,4.4253907
UBERON:0002600,-2.2285829,-2.4296162
CL:0002322,-7.153083,1.3880007
UBERON:0003975,-7.3757277,-7.366487
UBERON:0000117,-0.38282055,11.895085
UBERON:0006955,-7.017982,-5.0668726
CL:0000945,6.7040744,4.4726715
UBERON:0000948,11.524355,-2.4840965
CL:0002535,-6.984678,-5.103566
UBERON:0001893,2.3110728,-5.929982
UBERON:0000459,-10.066075,-1.4685558
UBERON:0001155,-5.325931,-10.390651
UBERON:0007196,-1.4026942,12.315058
UBERON:0002728,-1.9262073,-3.709808
UBERON:0002048,-11.640015,2.4022257
UBERON:0005401,1.8474766,-6.230015
CL:0002087,4.421903,1.7021718
UBERON:0001043,11.055279,-2.2167146
UBERON:0002385,8.176322,7.355638
UBERON:0002113,8.042668,-7.065835
UBERON:0002020,4.4243293,-4.448138
UBERON:0002066,-1.3783642,1.7931074
UBERON:0000179,5.214394,10.249679
UBERON:0001558,-11.256063,3.3140497
UBERON:0000922,-0.34582067,-10.680005
UBERON:0001981,-1.9925163,0.8747148
UBERON:0001961,8.405071,-1.1369225
UBERON:0004815,-1.6054127,11.1777315
UBERON:0004804,-8.27442,-6.1527743
UBERON:0002368,-9.501049,7.3683543
UBERON:0000055,-3.1674695,1.5130839
UBERON:0000178,5.212037,10.244201
UBERON:0002372,9.84658,-1.166267
UBERON:0007592,-3.6398854,11.450448
CL:0000786,6.921166,3.757186
UBERON:0002049,-3.1862853,1.5375061
CL:0000084,4.747625,-0.31985533
UBERON:0001735,9.16877,-1.9809853
UBERON:0000029,-11.054552,4.422574
UBERON:0016526,0.14190486,-5.194452
CL:0000451,7.114725,2.8842661
UBERON:0002973,-2.8553395,-3.3960752
UBERON:0000483,-2.8289292,-7.677738
UBERON:0001015,8.4866495,8.020848
UBERON:0011300,2.534693,-6.547747
UBERON:0000955,-0.15846303,-9.708181
CL:0002632,-1.6275785,13.059749
UBERON:0003889,-8.3369255,-5.8292203
UBERON:0009778,-12.008113,1.9320135
UBERON:0011822,-5.660353,4.193347
UBERON:0004802,-2.8319924,11.281366
UBERON:0018254,8.819958,7.45601
UBERON:0007601,-2.7285416,10.643983
UBERON:0002530,-9.084068,8.100689
CL:0002321,-7.2085776,1.3958457
CL:0000738,4.464452,1.6775631
UBERON:0000490,-0.9819964,9.567172
CL:2000064,4.82707,-10.689092
CL:0002368,-0.9742243,11.836935
CL:0002328,-2.1684256,11.671924
UBERON:0003528,1.9503117,-4.6461525
UBERON:0012069,9.2853365,-0.36794743
CL:0000946,6.916048,3.7666569
UBERON:0002199,-1.4270059,6.256021
UBERON:0010316,-0.22622383,-9.18868
UBERON:0001871,-1.2170924,-2.7607174
CL:0000766,3.171196,5.7412934
UBERON:0001869,2.9039793,-5.697423
UBERON:0010260,-1.4700693,0.91534656
UBERON:0019042,-10.102392,-1.4364387
UBERON:0001264,-7.66991,6.8090177
UBERON:0001962,8.694188,-0.5392549
UBERON:0010499,-3.535437,10.702004
CL:0002553,-3.8366787,4.8144817
UBERON:0002097,-1.3119601,5.460055
UBERON:0019264,3.1296372,-6.2234993
UBERON:0004725,-1.3435174,-2.811025
UBERON:0001890,2.437838,-4.4825673
UBERON:0001744,9.135959,-1.1145132
UBERON:0002894,-2.1792383,-3.9862752
UBERON:0000995,-9.778935,-3.591417
UBERON:0005911,-0.30577505,10.239054
UBERON:0000059,-5.402082,-10.348637
UBERON:0001950,7.686882,-7.32235
CL:0000763,2.4629872,6.8473377
UBERON:0005906,-11.981647,2.0024905
UBERON:0000923,-0.6696035,-8.698157
