,log2(auprc/prior)
brain (253),2.2381945131974055
liver (17),5.061647600726069
ovary (10),2.944667713220163
muscle tissue (187),2.276466052712679
breast (8),3.1360206572249125
skin of body (53),3.514555900292919
prostate gland (1),6.337034987277571
pancreas (18),4.597588830838935
blood (681),0.4069003839552168
testis (22),4.1053829637597286
skeletal muscle tissue (54),3.5935867334683733
adipose tissue (19),5.467229782599705
kidney (56),3.7798240985497324
uterus (10),5.554398705983591
stomach (13),1.396755164630841
heart (188),2.0136742803803935
lung (20),1.4716789955243101
esophagus (2),1.0339936320675165
colon (8),6.003095921161107
