,Tagger,MetaSRA,NLP-ML,NLP-ML + MetaSRA,N
UBERON:0002346,0.0680840075744534,0.0,0.994914934265363,0.994914934265363,791.0
UBERON:0000485,0.0132552935100705,0.7042398532997529,0.880331445641233,0.9883654034873162,154.0
UBERON:0002365,0.0791013943880186,0.32844481528996805,0.8409465116821192,0.8409849189174491,919.0
UBERON:0000029,0.5582706766917294,0.7823974697932059,0.4966195164252515,0.761721073888872,297.0
UBERON:0012069,0.0016353933551385,0.27873725446667785,0.39605486207427953,0.7619047619047619,19.0
UBERON:0000323,0.0059390600791874,0.40411350249570677,0.2466336151166784,0.48595848595848595,69.0
UBERON:0000160,0.0662602953428268,0.8773751015863784,0.8570724303878109,0.9868699050758005,520.0
CL:0000738,0.2691609845593948,0.533273973907435,0.8594999341373221,0.879672605656079,2941.0
UBERON:0000179,0.108452401446032,0.3813854504532337,0.8493471888025562,0.8833360603805154,1260.0
UBERON:0001042,0.0016400517911091,0.271706234941529,0.24137339316032014,1.0,19.0
UBERON:0019264,0.0213323691584561,0.8142853449796951,0.9950208078335374,1.0,236.0
UBERON:0002384,0.0320192804269237,0.2892503092009634,0.8059390624751129,0.7646133701635851,372.0
UBERON:0001638,0.8728568655388008,0.2851932316774287,0.5651932793099943,0.5545231478035764,47.0
UBERON:0002048,0.792950604343644,0.6236913042152387,0.7405995843243385,0.9701518093202527,691.0
UBERON:0000923,0.0680840075744534,0.06880978708630607,0.9903040229060387,0.9903040229060387,791.0
UBERON:0012274,0.0132552935100705,0.7067906586602278,0.9315128318445204,0.984842105263158,154.0
UBERON:0002372,0.1759259259259259,0.2785624463256042,0.5516240406617662,1.0,19.0
UBERON:0000451,1.0,0.4892653642653643,0.531147600850127,0.531147600850127,104.0
UBERON:0016526,0.0162704510530597,0.46125153937422303,1.0,0.9633805012193865,180.0
CL:2000064,0.1148467511974563,0.1788230972898262,0.5586198260936666,0.636880695658884,93.0
UBERON:0002020,0.0203133069375107,0.7836483240820563,0.9403755335016994,0.9564259441046422,236.0
UBERON:0002728,1.0,1.0,0.8806980056980057,1.0,64.0
UBERON:0000945,0.3017042714963284,0.29461749188311687,0.42640603532597526,0.42640603532597526,52.0
UBERON:0001870,0.0094007050528789,0.4057141660082837,0.5824376870091675,0.5824376870091675,104.0
CL:0000542,0.1129584582681359,0.10119479457771867,0.697279488839686,0.6960522492378721,1071.0
UBERON:0002107,0.6687644757110791,0.46705908259687084,0.9196286549167236,0.93531512459287,816.0
UBERON:0001264,0.9489075747592884,0.9924378364521917,0.3367303226573341,1.0,97.0
CL:0000766,0.0191239975323874,0.6917235642786971,0.863642761889597,0.895042609996913,217.0
UBERON:0002368,0.0724737476329833,0.4579544923757434,0.8595134868757904,0.8854976049343708,842.0
UBERON:0007592,0.0132552935100705,0.8293782189033839,0.9657988267770877,1.0,154.0
UBERON:0004815,0.0113832355984822,1.0,0.9672619768724353,1.0,132.0
CL:0000084,0.6158694316135654,0.17798271872196733,0.4722568058788035,0.6228515688850654,308.0
CL:0002087,0.2418660698915476,0.48134797399338664,0.7866061922016293,0.8680644884265958,2808.0
UBERON:0000956,0.0213323691584561,0.889391842075906,1.0,1.0,236.0
UBERON:0004804,0.0053614666205465,0.0,0.28311765376237197,0.28311765376237197,62.0
CL:0002321,0.0019796866930624,1.0,1.0,1.0,23.0
UBERON:0005906,0.0567223274229643,0.0,0.8143929162447587,0.8143929162447587,659.0
CL:0000057,0.7156882086818392,0.9084176146811822,0.7581421057852229,0.927361000180549,108.0
UBERON:0006955,0.0043237634036665,0.0,0.2580659434819812,0.2580659434819812,50.0
UBERON:0000992,0.8978393501692911,0.9299038770140136,0.7104418469299841,0.91410807312904,346.0
UBERON:0000955,0.8448957309951319,0.5452079490344348,0.9902320075784251,0.995521567451392,791.0
CL:0002553,0.0028839221341023,0.5037089822024472,0.39483334389699604,0.7247585546373556,32.0
UBERON:0011300,0.0213323691584561,0.8869522141229096,1.0,1.0,236.0
UBERON:0004765,0.0265966603546221,0.10546044924590445,0.44808139919760814,0.5339093560201805,309.0
CL:0000842,0.7527333405308734,0.7501148133828089,0.875991483886186,0.9779042500379699,1737.0
UBERON:0000178,0.3953686720939799,0.3805620554875392,0.9579388681673757,0.9609516978581965,1260.0
UBERON:0000055,0.1172529938904172,0.2111196495549855,0.4472891994798077,0.624955665598677,53.0
CL:0000451,1.0,0.6337510442773601,0.12818755051585598,1.0,67.0
UBERON:0001049,0.0680840075744534,0.0,0.9997606631662727,0.9997606631662727,791.0
UBERON:0005291,0.0680840075744534,0.05046696399923014,0.9973315742376201,0.9963760309520137,791.0
UBERON:0000948,0.1511201829673167,0.8688405797101448,0.7371304652002718,1.0,112.0
UBERON:0016525,0.0094007050528789,0.4057141660082837,0.7785915448560853,0.7785915448560853,104.0
UBERON:0018254,0.0256498536753313,0.9803755224548591,1.0,1.0,298.0
UBERON:0004537,0.0040454467206059,0.16297868325661857,0.6219761165822151,0.5342545348077123,47.0
UBERON:0001155,0.7577189461985918,0.8778243493384735,0.9864329101392766,0.9943010189629579,506.0
UBERON:0001134,0.4735893504755985,0.46672454254147466,1.0,1.0,298.0
UBERON:0000490,0.0137717335169564,0.4566403143256932,0.7923896584679945,0.821302495526908,160.0
UBERON:0001474,0.0789131809717357,0.10521121142487042,0.5159933216827108,0.5784057703444088,309.0
UBERON:0004802,0.0132552935100705,0.8330978057990125,0.8846358256091783,1.0,154.0
UBERON:0011821,0.0207436736099156,0.8795096273405825,1.0,1.0,241.0
CL:0000786,1.0,0.34096803392228286,0.7511032656663725,1.0,388.0
CL:0000945,0.04872491455613,0.11492553069983993,0.6418174211575222,0.7906053925552834,556.0
UBERON:0003914,0.0680840075744534,0.0,0.9614513015110067,0.9614513015110067,791.0
CL:0000037,0.9488141052574898,0.0,0.8372644507872931,0.8372644507872931,211.0
UBERON:0001013,0.8862274807513595,0.8847188665788241,1.0,1.0,241.0
CL:0000763,0.0445859872611464,0.3618066856945308,0.5675079243246941,0.7435523142352859,518.0
UBERON:0000459,0.0071774472500864,0.5971455059158168,0.7130564161582063,0.7130564161582063,83.0
CL:0002620,0.0207491727471059,0.285023775906,0.519538359386416,0.5894147549207063,66.0
CL:0002632,0.0113871635610766,1.0,0.8363321906219301,1.0,132.0
UBERON:0010499,0.0132552935100705,0.8334368033939894,0.8852779357890901,0.9197218960973718,154.0
UBERON:0000922,0.0740230676536409,0.07288255341634824,0.9715594519633737,0.9697281614506427,860.0
UBERON:0002031,0.0113832355984822,1.0,0.8435619451321863,1.0,132.0
UBERON:0000002,0.2139147074904319,0.31540528437080156,0.31347371084640413,0.610190963944579,62.0
CL:0000946,0.0344766305313666,0.34096803392228286,0.7511339138263275,0.9998661653476257,388.0
UBERON:0001744,0.0016353933551385,0.27686339502541585,0.45669710806697106,0.7619047619047619,19.0
UBERON:0010316,0.0680840075744534,0.0701803997305989,0.9942865274525111,0.9942865274525111,791.0
UBERON:0034769,0.0020657600275434,0.2111607238497434,0.27010407440060696,0.8004378283712784,24.0
CL:0002202,0.0113871635610766,1.0,0.6441538454802532,1.0,132.0
UBERON:0007196,0.011361680151489,0.8604617184790726,0.7377684100132191,1.0,132.0
CL:0000081,0.0024100533654673,0.4840933191940615,0.028558429782463104,0.5876551014896834,28.0
UBERON:0010498,0.0132552935100705,0.8293782189033839,0.9951874996024316,1.0,154.0
CL:0002368,0.0113871635610766,0.8393128525321764,0.901041165087225,1.0,132.0
UBERON:0001015,0.0256498536753313,0.9804708388045658,1.0,1.0,298.0
UBERON:0002066,0.8728568655388008,0.4763592901709748,0.6042952691733772,0.6042952691733772,47.0
UBERON:0000310,0.9749727628238156,0.6359258772830778,0.9298026921886893,0.9323392936940544,810.0
UBERON:0001043,0.3464662235505792,0.3336231884057971,0.42495762204311427,0.42495762204311427,29.0
UBERON:0003528,0.0213323691584561,0.8178220063867615,1.0,1.0,236.0
UBERON:0001950,0.0094007050528789,0.4231589216883334,0.7012278061239638,0.4957234127410539,104.0
UBERON:0000991,0.030728180409709,0.9132840819858332,0.5457701947737321,0.9925514338810689,357.0
UBERON:0000993,0.1653001623715063,0.316870954500916,0.5543378012697308,0.6999409780533296,199.0
UBERON:0004807,0.0137717335169564,0.8363692220190581,0.7133354421884602,0.9472856266556885,160.0
UBERON:0000995,0.0125389138706329,0.4584314215779702,0.3273490599549419,0.5062391761521754,145.0
UBERON:0002894,0.0057850492633101,1.0,0.7142857142857143,1.0,64.0
UBERON:0001871,0.0057850492633101,0.9632996632996633,0.46003678552782806,1.0,64.0
UBERON:0002371,0.0877431165525541,0.1152558147121038,0.41092036860386133,0.5283175852044648,309.0
UBERON:0002185,0.2905371671613709,0.8566325237703236,0.7251541367213135,0.9078910701253206,132.0
UBERON:0012275,0.0053365467378206,0.0,0.2401555455013969,0.2401555455013969,62.0
UBERON:0000059,0.0435531072473747,0.8758773817651786,0.9050101592633071,1.0,506.0
CL:0002322,1.0,1.0,0.7222222222222222,1.0,23.0
UBERON:0000483,0.1327808504190107,0.10307056339717233,0.8088785486581511,0.8243679714472784,1360.0
UBERON:0005401,0.0213323691584561,0.8858736245266183,0.9772132683658171,1.0,236.0
UBERON:0006562,0.0016353933551385,0.29547746128215974,0.5372112833403155,1.0,19.0
UBERON:0002199,0.0080908934412119,0.029360260704336144,0.3437832948935162,0.2696305057950307,94.0
UBERON:0001962,0.0016353933551385,0.28738839285714285,0.4784722222222222,1.0,19.0
UBERON:0011215,0.0203133069375107,0.7864400791816744,0.8375100887953295,0.9314659441046423,236.0
UBERON:0016548,0.0203133069375107,0.8614234700427833,0.8531973802683188,0.9854945079883493,236.0
UBERON:0009778,0.0567223274229643,0.0,0.7153105004401272,0.7153105004401272,659.0
UBERON:0011823,0.0207436736099156,0.8835401983686635,1.0,1.0,241.0
CL:0000576,0.6490911179646351,0.6372047021608499,0.6287401125473291,0.9204259633162734,151.0
CL:0000182,0.0123683005038937,0.0,0.15969688133036622,0.15969688133036622,135.0
UBERON:0002049,0.0045618867274918,0.24087827904502118,0.5681943508887171,0.5787568369018365,53.0
UBERON:0012168,0.7582417582417582,0.6304926666372449,0.1973980304052477,0.6923557923557923,69.0
UBERON:0000117,0.0398128296217468,0.8393128525321764,0.8034687022836845,0.9555047287732297,132.0
UBERON:0000065,0.0727319676364262,0.6881936615594813,0.9851303768674136,0.9934514130300652,845.0
UBERON:0000203,0.0213323691584561,0.883911764148133,1.0,1.0,236.0
UBERON:0016529,0.0094007050528789,0.4231589216883334,0.4860379904012306,0.4740144540420932,104.0
UBERON:0001893,0.0213323691584561,0.8756407643148792,0.9949591038406828,1.0,236.0
UBERON:0002530,0.1133136261433187,0.4037060126956387,0.7865640809016137,0.8189193585521737,1192.0
UBERON:0001869,0.0213323691584561,0.8744796872714493,0.9996323529411765,1.0,236.0
CL:0000066,0.1986341308565264,0.08354878059148976,0.31952240603709503,0.31659850683784607,475.0
UBERON:0004801,0.0043282548476454,0.0,0.039894574999804526,0.039894574999804526,50.0
UBERON:0005911,0.0137717335169564,0.8397155180654531,0.9340717739267543,0.9982791139891047,160.0
CL:0002328,1.0,1.0,0.8708703509178429,1.0,132.0
UBERON:0007601,0.0132552935100705,0.8336798306845885,0.977204776702089,1.0,154.0
UBERON:0000473,0.6367079297015603,0.6168730650154798,0.0028570102541522254,0.8269230769230769,11.0
UBERON:0001295,0.6172250399036477,0.5971455059158168,0.7130839754424524,0.7130839754424524,83.0
UBERON:0008895,0.0016353933551385,0.0,0.3670712772536481,0.3670712772536481,19.0
UBERON:0001981,0.0040454467206059,0.1582795496376243,0.7105715047212915,0.7065592201958308,47.0
UBERON:0002385,0.0256498536753313,0.46371177794986895,0.9968938756428237,1.0,298.0
UBERON:0002973,0.0057850492633101,1.0,0.8095238095238094,1.0,64.0
UBERON:0002097,0.0056808400757445,0.1669831455831774,0.6642890856870736,0.7751562436372608,66.0
UBERON:0001558,0.0708383542778447,0.6534343526013531,0.9256359198620381,0.9580037611825126,823.0
UBERON:0003920,0.0040454467206059,0.2810088589149058,0.5428050967034762,0.31780509670347623,47.0
UBERON:0001961,0.0016353933551385,0.28469697914835457,0.2864629688911105,1.0,19.0
UBERON:0000200,0.0057850492633101,1.0,0.7450980392156863,1.0,64.0
UBERON:0002367,1.0,0.9397470706445212,0.6170608018041052,0.8033593244836637,243.0
UBERON:0002036,0.0256498536753313,0.4663593742321989,1.0,1.0,298.0
UBERON:0002113,0.4738058559993749,0.4317716867129072,0.46312552507666427,0.635644799893667,250.0
UBERON:0004725,0.0057850492633101,1.0,0.4521199521199521,1.0,64.0
UBERON:0005366,0.0057850492633101,1.0,0.7044858168453674,1.0,64.0
UBERON:0001735,0.0016400517911091,0.29006801162910606,0.3216782149176796,0.8065476190476191,19.0
UBERON:0008367,0.0060695236343571,0.0,0.04737163422347015,0.04737163422347015,66.0
CL:0008001,0.0181614735754863,0.005198860288998125,0.8578079397159645,0.8578079397159645,211.0
UBERON:0002600,0.0057850492633101,0.5390035916395819,0.48271225374203036,1.0,64.0
UBERON:0001890,0.0213323691584561,0.7783875297672223,1.0,1.0,236.0
UBERON:0019042,0.0071440867619211,0.5985206829889345,0.7173691437452137,0.7267441437452137,83.0
UBERON:0010260,0.0040454467206059,0.4763592901709748,0.4779295720821399,0.4779295720821399,47.0
UBERON:0003889,0.0053614666205465,0.0,0.2177527333476123,0.2177527333476123,62.0
UBERON:0010371,0.0680840075744534,0.0,0.9819188869811194,0.9819188869811194,791.0
UBERON:0011822,0.0207436736099156,0.8834038074438599,1.0,1.0,241.0
CL:0000235,1.0,0.718521372913316,0.46156839385449266,0.8860714285714286,61.0
UBERON:0003975,0.027113100361508,0.43368222173093274,0.22382723487815945,0.22382723487815945,315.0
CL:0002535,0.0043380183931979,0.0,0.04066787031582063,0.04066787031582063,50.0
